考点ID,版本ID,学段,L1(范围),L2(模块),L3(主题),L4(原子考点),是否启用学段版本,适用学段,版本语义描述,挂载知识点(必要),挂载知识点(可选),依赖强度,策略前置,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,主思想ID,次要思想ID,考法本体UI,核心算力要求,次要算力/变式方向,D1核心数学模型,D2思维路径,I信息隐蔽度,C考点复合度,Ch认知通道
KF-0132,全学段,课内,图形与几何,立体图形表面积,正方体表面涂色问题(角棱面分类),已知正方体的表面积计算、正方体的特征反求参数(逆向L4),ID-901 [组合枚举],,图文结合,KP-0385|KP-0380,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0133,全学段,课内,图形与几何,立体图形表面积,求包装后的包装纸面积,长方体的表面积计算、表面积的实际应用(正向计算L2),ID-201 [形体转化],,图文结合,KP-0384|KP-0386,从结果反推; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0134,全学段,课内,图形与几何,立体图形表面积,已知正方体表面积求棱长,已知正方体的表面积计算、正方体的特征反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0385|KP-0380,多步倒推; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0135,全学段,课内,图形与几何,立体图形表面积,已知长方体表面积求长宽高,已知长方体的表面积计算、长方体的特征反求参数(逆向L4),ID-202 [算理转化],ID-701 [步骤倒推],图文结合,KP-0384|KP-0379,加入过程变化; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0136,全学段,课内,图形与几何,立体图形体积,捏橡皮泥问题(等体积变形),已知长方体的体积计算、正方体的体积计算等反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0388|KP-0389|KP-0387,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0137,全学段,课内,图形与几何,立体图形体积,熔铸问题(等体积变形),已知圆柱体积的计算、圆锥体积的计算等反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0453|KP-0458|KP-0387,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0138,全学段,课内,图形与几何,立体图形体积,完全浸没求体积(排水法),已知长方体的体积计算、体积与容积的概念反求参数(逆向L4),ID-201 [形体转化],ID-501 [等量代换],图文结合,KP-0388|KP-0387,直接给出隐含条件; 加入无关数据; 平面旋转成立体,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0139,全学段,课内,图形与几何,立体图形体积,物体完全浸没后液面深度变化,已知长方体的体积计算、体积与容积的概念反求参数(逆向L3),ID-201 [形体转化],ID-501 [等量代换],图文结合,KP-0388|KP-0387,多步倒推; 平面旋转成立体,,,,,,,,,,ID-201,,图文结合,ALG_L3,,VOLUME,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0140,全学段,课内,图形与几何,立体图形体积,物体全浸没时溢出水的体积,已知长方体的体积计算、体积与容积的概念反求参数(逆向L4),ID-201 [形体转化],ID-501 [等量代换],图文结合,KP-0388|KP-0387,直接给出隐含条件; 加入无关数据; 平面旋转成立体,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0141,全学段,课内,图形与几何,立体图形体积,液体中未完全浸入的体积问题,已知长方体的体积计算、体积与容积的概念反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0388|KP-0387,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0142,全学段,课内,图形与几何,立体图形体积,求组合体的体积,长方体的体积计算、正方体的体积计算等(正向计算L2),ID-201 [形体转化],,图文结合,KP-0388|KP-0389|KP-0453,从结果反推; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L2,,VOLUME,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0143,全学段,课内,图形与几何,立体图形体积,平面图形旋转成立体图形的体积,圆柱体积的计算、圆锥体积的计算等(正向计算L5),ID-201 [形体转化],,图文结合,KP-0453|KP-0458|KP-0392,静态描述; 加入无关动态过程; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L5,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0144,全学段,课内,图形与几何,立体图形体积,辨别平面图形绕轴旋转后的立体图形,圆柱的特征与展开图、圆锥的特征等(正向计算L5),ID-201 [形体转化],,图文结合,KP-0449|KP-0454|KP-0392,静态描述; 加入无关动态过程; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L5,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0145,全学段,课内,图形与几何,立体图形体积,底面积与体积的倍比关系(高不变),长方体的体积计算、积的变化规律(正向计算L1),ID-202 [算理转化],,图文结合,KP-0388|KP-0246,已知结果反求条件; 串联两步计算; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L1,,VOLUME,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0146,全学段,课内,图形与几何,立体图形体积,高与体积的倍比关系(底面积不变),长方体的体积计算、积的变化规律(正向计算L1),ID-202 [算理转化],,图文结合,KP-0388|KP-0246,已知结果反求条件; 串联两步计算; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L1,,VOLUME,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0147,全学段,课内,图形与几何,立体图形体积,通过倒立瓶子求瓶子容积,已知圆柱体积的计算、体积与容积的概念反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0453|KP-0387,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0148,全学段,课内,图形与几何,立体图形体积,求钢管的体积(大圆柱-小圆柱),圆柱体积的计算、圆环面积的计算(正向计算L2),ID-201 [形体转化],,图文结合,KP-0453|KP-0444,从结果反推; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0149,全学段,课内,图形与几何,立体图形体积,求卷纸的长度(体积÷纸厚度),已知圆柱体积的计算、圆环面积的计算反求参数(逆向L4),ID-201 [形体转化],ID-701 [步骤倒推],图文结合,KP-0453|KP-0444,加入过程变化; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0150,全学段,课内,图形与几何,立体图形体积,圆柱与圆锥体积的1/3关系(等底等高),已知圆柱体积的计算、圆锥体积的计算等反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0453|KP-0458|KP-0457,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0151,全学段,课内,图形与几何,立体图形体积,已知圆柱体积和底面积求高,已知圆柱体积的计算、圆面积的计算反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0453|KP-0443,多步倒推; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0152,全学段,课内,图形与几何,立体图形体积,已知圆柱体积和高求底面积,已知圆柱体积的计算、圆面积的计算反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0453|KP-0443,多步倒推; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0153,全学段,课内,图形与几何,立体图形体积,物体平移形成柱体的体积,已知圆柱体积的计算、长方体的体积计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0453|KP-0388,直接给出隐含条件; 加入无关数据; 排水法求体积,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0154,全学段,课内,图形与几何,图形变换,折叠剪纸(正向：折后剪什么形状),轴对称图形的直观特征、补全轴对称图形(正向计算L5),ID-201 [形体转化],,图文结合,KP-0130|KP-0303,静态描述; 加入无关动态过程,,,,,,,,,,ID-201,,图文结合,ALG_L5,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0155,全学段,课内,图形与几何,图形变换,折叠剪纸(逆向：剪出指定形状怎么折),已知轴对称图形的直观特征、补全轴对称图形反求参数(逆向L4),ID-201 [形体转化],ID-701 [步骤倒推],图文结合,KP-0130|KP-0303,加入过程变化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0156,全学段,课内,图形与几何,图形变换,根据轴对称补图,补全轴对称图形、轴对称图形的直观特征(正向计算L1),ID-201 [形体转化],,图文结合,KP-0303|KP-0130,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-201,,图文结合,ALG_L1,,TRANSFORM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0157,全学段,课内,图形与几何,图形变换,根据对称性求角度,已知轴对称图形的直观特征、角的度量方法反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0130|KP-0282,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0158,全学段,课内,图形与几何,图形变换,根据对称性求长度,已知轴对称图形的直观特征、线段的直观特征反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0130|KP-0121,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0159,全学段,课内,图形与几何,图形变换,根据对称性求周长,已知轴对称图形的直观特征、长方形周长的计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0130|KP-0191,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0160,全学段,课内,图形与几何,图形变换,根据对称性求面积,已知轴对称图形的直观特征、长方形面积的计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0130|KP-0199,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0161,全学段,课内,图形与几何,图形变换,镜子中的影像(镜面对称),轴对称图形的直观特征(正向计算L5),ID-201 [形体转化],,图文结合,KP-0130,静态描述; 加入无关动态过程,,,,,,,,,,ID-201,,图文结合,ALG_L5,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0162,全学段,课内,图形与几何,图形分割,长方形中画最大的圆,已知圆的特征与各部分名称、长方形的边角特征反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0439|KP-0187,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0163,全学段,课内,图形与几何,图形分割,正方形中画最大的圆,已知圆的特征与各部分名称、正方形的边角特征反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0439|KP-0188,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0164,全学段,课内,图形与几何,图形分割,长方体中画最大的圆柱,已知圆柱的特征与展开图、长方体的特征反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0449|KP-0379,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,VOLUME,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0165,全学段,课内,图形与几何,图形分割,将多边形分割成三角形(n-2个),三角形的定义与特征、四边形的直观特征(正向计算L2),ID-201 [形体转化],,图文结合,KP-0500|KP-0186,从结果反推,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0166,全学段,课内,图形与几何,图形分割,探索多边形内角和((n-2)×180°),三角形内角和是180度、四边形内角和(正向计算L2),ID-201 [形体转化],,图文结合,KP-0296|KP-0297,从结果反推,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0167,全学段,课内,图形与几何,图形分割,大图形里能放多少个小图形(铺地砖),长方形面积的计算、正方形面积的计算(正向计算L2),ID-602 [极值与估算],,图文结合,KP-0199|KP-0200,从结果反推,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0168,全学段,课内,图形与几何,图形分割,圆分割成两个半圆后周长的变化,已知圆的周长计算、圆的特征与各部分名称反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0441|KP-0439,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0169,全学段,课内,图形与几何,图形分割,圆分割成两个半圆后面积不变,已知圆面积的计算、圆的特征与各部分名称反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0443|KP-0439,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0170,全学段,课内,图形与几何,图形分割,把长方形分割成最少的正方形(求GCD),已知求最大公因数、长方形的边角特征反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0350|KP-0187,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-602,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0171,全学段,课内,图形与几何,图形拼组,极端拼接求最大周长,已知长方形周长的计算、正方形周长的计算反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0191|KP-0192,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0172,全学段,课内,图形与几何,图形拼组,极端拼接求最小周长,已知长方形周长的计算、正方形周长的计算反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0191|KP-0192,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0173,全学段,课内,图形与几何,图形拼组,利用三角板拼角,角的度量方法、锐角/直角/钝角/平角/周角的特征(正向计算L2),ID-901 [组合枚举],,图文结合,KP-0282|KP-0283,从结果反推,,,,,,,,,,ID-201,,图文结合,ALG_L2,,LENGTH,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0174,全学段,课内,图形与几何,图形拼组,密铺(判断某图形能否密铺),已知密铺的认识、四边形的直观特征反求参数(逆向L4),ID-901 [组合枚举],,图文结合,KP-0504|KP-0186,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0175,全学段,课内,图形与几何,图形拼组,求图形拼接后的周长(指定拼法),长方形周长的计算、正方形周长的计算(正向计算L2),ID-201 [形体转化],,图文结合,KP-0191|KP-0192,从结果反推,,,,,,,,,,ID-201,,图文结合,ALG_L2,,LENGTH,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0176,全学段,课内,图形与几何,观察物体,从前后左右观察生活物体,辨认从不同位置观察简单物体的形状(L5),ID-201 [形体转化],,图文结合,KP-0137,静态描述; 加入无关动态过程,,,,,,,,,,ID-401,,图文结合,ALG_L5,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0177,全学段,课内,图形与几何,观察物体,从不同位置观察几何体(三视图),辨认从不同方向观察组合几何体的形状(L5),ID-201 [形体转化],,图文结合,KP-0138,静态描述; 加入无关动态过程,,,,,,,,,,ID-901,,图文结合,ALG_L5,,TRANSFORM,D4_REVERSE_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0178,全学段,课内,图形与几何,观察物体,根据形状图用正方体摆几何体,辨认从不同方向观察组合几何体的形状、正方体的直观特征(L4),ID-201 [形体转化],ID-701 [步骤倒推],图文结合,KP-0138|KP-0062,加入过程变化,,,,,,,,,,ID-901,,图文结合,ALG_L4,,TRANSFORM,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0179,全学段,课内,图形与几何,观察物体,根据一个方向视图求最多正方体数量,辨认从不同方向观察组合几何体的形状(L4),ID-602 [极值与估算],ID-701 [步骤倒推],图文结合,KP-0138,加入过程变化,,,,,,,,,,ID-901,,图文结合,ALG_L4,,TRANSFORM,D3_FORWARD_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0180,全学段,课内,图形与几何,观察物体,根据一个方向视图求最少正方体数量,辨认从不同方向观察组合几何体的形状(L4),ID-602 [极值与估算],ID-701 [步骤倒推],图文结合,KP-0138,加入过程变化,,,,,,,,,,ID-901,,图文结合,ALG_L4,,TRANSFORM,D3_FORWARD_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0181,全学段,课内,图形与几何,观察物体,根据多方向视图还原几何体,辨认从不同方向观察组合几何体的形状(L4),ID-201 [形体转化],ID-701 [步骤倒推],图文结合,KP-0138,加入过程变化,,,,,,,,,,ID-901,,图文结合,ALG_L4,,TRANSFORM,D3_FORWARD_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0182,全学段,课内,图形与几何,线与角,利用线段最短性质解决问题,线段/直线/射线的特征、线段的直观特征(L4),ID-602 [极值与估算],,图文结合,KP-0281|KP-0121,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-401,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0183,全学段,课内,图形与几何,线与角,利用垂线段最短性质解决问题,点到直线的距离、画垂线的方法(L4),ID-602 [极值与估算],,图文结合,KP-0287|KP-0286,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-401,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0184,全学段,课内,图形与几何,线与角,利用平行线间距离相等解决问题,画平行线的方法、同一平面内两条直线的位置关系(L4),ID-201 [形体转化],,图文结合,KP-0288|KP-0285,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-401,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0185,全学段,课内,图形与几何,线与角,角的简单计算(度数加减),角的度量方法、锐角/直角/钝角/平角/周角的特征(L1),ID-202 [算理转化],,图文结合,KP-0282|KP-0283,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-401,,纯文本/算式,ALG_L1,,LENGTH,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0186,全学段,课内,图形与几何,线与角,用直角或平角推理出相同的角,锐角/直角/钝角/平角/周角的特征、角的度量方法(L4),ID-202 [算理转化],,图文结合,KP-0283|KP-0282,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-401,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0187,全学段,课内,图形与几何,认识图形,面在体上(从立体图形认识平面图形),已知长方体的直观特征、正方体的直观特征等反求参数(逆向L3),ID-201 [形体转化],,图文结合,KP-0061|KP-0062|KP-0065|KP-0066,纯数值计算; 图中信息不完整,,,,,,,,,,ID-201,,图文结合,ALG_L3,,VOLUME,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0188,全学段,课内,量与计量,时间单位,数钟面格子计算时间(低年级),认识整时、认识半时等(L2),ID-202 [算理转化],,纯文本/算式,KP-0468|KP-0469|KP-0467,从结果反推,,,,,,,,,,ID-801,,生活情境,ALG_L1,,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0189,全学段,课内,量与计量,时间单位,计算经过的时间(时分秒),计算经过的时间、时与分的进率等(L2),ID-202 [算理转化],,纯文本/算式,KP-0136|KP-0134|KP-0135,从结果反推,,,,,,,,,,ID-801,,生活情境,ALG_L2,,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0190,全学段,课内,量与计量,时间单位,计算经过的时间(年月日),大月与小月的特征、平年与闰年的特征(L2),ID-202 [算理转化],,纯文本/算式,KP-0204|KP-0205,从结果反推,,,,,,,,,,ID-801,,生活情境,ALG_L2,,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0191,全学段,课内,量与计量,时间单位,用24时计时法计算经过时间,24时计时法与普通计时法的转换、计算经过的时间(L4),ID-202 [算理转化],,纯文本/算式,KP-0206|KP-0136,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-801,,生活情境,ALG_L4,,PART_WHOLE,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0192,全学段,课内,量与计量,时间单位,计算经过后的时间点,计算经过的时间、时与分的进率(L1),ID-202 [算理转化],,纯文本/算式,KP-0136|KP-0134,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-801,,生活情境,ALG_L1,,PART_WHOLE,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0193,全学段,课内,量与计量,时间单位,根据作息时间表解决问题,24时计时法与普通计时法的转换、计算经过的时间(L2),ID-202 [算理转化],,纯文本/算式,KP-0206|KP-0136,从结果反推,,,,,,,,,,ID-801,,生活情境,ALG_L2,,PART_WHOLE,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0194,全学段,课内,量与计量,时间单位,感知活动可能发生的时间,秒的认识、时与分的进率(L4),ID-602 [极值与估算],,纯文本/算式,KP-0133|KP-0134,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-801,,生活情境,ALG_L4,,PART_WHOLE,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0195,全学段,课内,量与计量,时间单位,用闰年判断方法解决问题,平年与闰年的特征、大月与小月的特征(L4),ID-202 [算理转化],,纯文本/算式,KP-0205|KP-0204,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-801,,生活情境,ALG_L4,,PART_WHOLE,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0196,全学段,课内,量与计量,长度单位,感知长度单位(填合适单位),厘米的认识、米的认识等(L4),ID-602 [极值与估算],,纯文本/算式,KP-0118|KP-0119|KP-0178|KP-0180,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-102,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0197,全学段,课内,量与计量,长度单位,长度单位的估算,厘米的认识、米的认识等(L4),ID-602 [极值与估算],,纯文本/算式,KP-0118|KP-0119|KP-0180,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-102,,纯文本/算式,ALG_L4,,LENGTH,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0198,KF-0198-V1,低年级,课内,量与计量,长度单位,长度单位的计算(相邻单位),是,2,3,相邻长度单位的换算:米厘米毫米,KP-0120|KP-0181,,0.90|0.85,unit_conversion:KF-0198-V1,人教版,2,上,6,测量,2,米与厘米的进率,ID-102,ID-202,纯文本/算式,ALG_L2,从结果反推,LENGTH,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0198,KF-0198-V2,中年级,课内,量与计量,长度单位,长度单位的计算(跨级单位),是,3,4,跨级长度单位的换算:加入千米,KP-0183|KP-0182,,0.90|0.85,unit_conversion:KF-0198-V1,人教版,3,上,3,测量,3,千米的认识,ID-102,ID-202,纯文本/算式,ALG_L3,千米米厘米混合换算,LENGTH,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0199,KF-0199-V1,中年级,课内,量与计量,面积单位,面积单位的计算(相邻单位),是,4,相邻面积单位的换算:进率100,KP-0201,,0.95,unit_conversion:KF-0198-V1,人教版,4,下,5,面积,2,面积单位间的进率,ID-102,ID-202,纯文本/算式,ALG_L2,从结果反推,AREA,D2_REVERSE_SINGLE,I0_RAW,C1_SINGLE,Ch-A
KF-0199,KF-0199-V2,中年级,课内,量与计量,面积单位,面积单位的计算(跨级单位),是,5,跨级面积单位的换算:加入公顷平方千米,KP-0202|KP-0335,,0.90|0.85,unit_conversion:KF-0198-V1,人教版,5,上,2,多边形的面积,6,公顷和平方千米,ID-102,ID-202,纯文本/算式,ALG_L3,公顷平方千米平方米混合,AREA,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0200,KF-0200-V1,高年级,课内,量与计量,体积单位,体积单位的计算(相邻单位),是,5,相邻体积单位的换算:进率1000,KP-0528,,0.95,unit_conversion:KF-0198-V1,人教版,5,下,3,长方体和正方体,4,体积单位间的进率,ID-102,ID-202,纯文本/算式,ALG_L2,从结果反推,VOLUME,D2_REVERSE_SINGLE,I0_RAW,C1_SINGLE,Ch-A
